date,source,rating,review_text
2026-08-01,Google Play,5,"App is fast and the new dashboard looks great."
2026-08-02,App Store,4,"Good experience overall, but notifications are delayed."
2026-08-03,CSV,4,"The workflow is simple and the support team is helpful."
2026-08-04,Google Play,2,"The app keeps crashing on login and freezes often."
2026-08-05,App Store,3,"Mostly okay, but syncing is inconsistent."
2026-08-06,CSV,2,"CSV imports are unstable and the bug is frustrating."
2026-08-07,Google Play,5,"Love the new features and responsive support."
2026-08-08,App Store,1,"The app is unusable because of login bugs."
2026-08-09,CSV,5,"Very polished and reliable."
2026-08-10,Google Play,1,"The latest update broke sign in completely."
2026-08-11,App Store,3,"Good app with some navigation issues."
2026-08-12,CSV,4,"The export workflow works well but could be clearer."
2026-08-13,Google Play,4,"Nice app, but some pages load slowly."
2026-08-14,App Store,5,"I like the updates and the support team."
2026-08-15,CSV,3,"The app is decent but the notification settings are confusing."
2026-08-16,Google Play,2,"Billing page error keeps showing up."
2026-08-17,App Store,2,"Notifications never show up sometimes."
2026-08-18,CSV,5,"Smooth experience and very helpful reminders."
2026-08-19,Google Play,5,"Love how responsive the UI feels."
2026-08-20,App Store,4,"Better than before, but the dashboard still loads slowly."
2026-08-21,CSV,1,"The app fails to load after update."
2026-08-22,Google Play,3,"Mostly okay, though the layout could be improved."
2026-08-23,App Store,5,"Excellent app with very useful reminders."
2026-08-24,CSV,4,"Overall good value with a few minor issues."
